[START] Reading GenBank input...
[START] Loaded 1 record(s).
[RECORD] Processing record 1/1: 1
[CHANGED] standard_name=dnaA CDS | location=635-2054(+) | final_gene=dnaA | final_product=chromosomal replication initiator protein DnaA | resolution=no_change
[CHANGED] standard_name=adenosine deaminase CDS | location=2246464-2247526(+) | final_gene=add | final_product=adenosine deaminase | resolution=uniprot_product_to_gene:add:20,tadA:6
[CHANGED] standard_name=radA CDS | location=2247522-2249040(-) | final_gene=radA | final_product=DNA repair protein RadA | resolution=no_change
[CHANGED] standard_name=rpaB CDS | location=2249566-2250295(+) | final_gene=rpaB | final_product=response regulator transcription factor RpaB | resolution=no_change
[UNRESOLVED] standard_name=cofactor assembly of complex C subunit B CDS | location=2250319-2250979(+) | final_gene=unknown_gene | final_product=cofactor assembly of complex C subunit B | resolution=fallback_unknown_gene
[CHANGED] standard_name=ribonuclease J CDS | location=2252046-2254299(-) | final_gene=rnj | final_product=ribonuclease J | resolution=uniprot_product_to_gene:rnj:965,rnjA:30,ykqC:5
[CHANGED] standard_name=dapA CDS | location=2255829-2256717(-) | final_gene=dapA | final_product=4-hydroxy-tetrahydrodipicolinate synthase | resolution=no_change
[CHANGED] standard_name=pcrA CDS | location=2256933-2259306(-) | final_gene=pcrA | final_product=DNA helicase PcrA | resolution=no_change
[CHANGED] standard_name=universal stress protein CDS | location=2259419-2259851(-) | final_gene=UspA | final_product=universal stress protein | resolution=uniprot_product_to_gene:UspA:5,uspA:5
[CHANGED] standard_name=hemG CDS | location=2260307-2261801(-) | final_gene=hemG | final_product=protoporphyrinogen oxidase | resolution=no_change
[UNRESOLVED] standard_name=ABC1 kinase family protein CDS | location=2262308-2264318(-) | final_gene=unknown_gene | final_product=ABC1 kinase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Cof-type HAD-IIB family hydrolase CDS | location=2265732-2266662(+) | final_gene=unknown_gene | final_product=Cof-type HAD-IIB family hydrolase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=VOC family protein CDS | location=2266672-2267068(-) | final_gene=unknown_gene | final_product=VOC family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=calcium-binding protein CDS | location=2267785-2269981(+) | final_gene=unknown_gene | final_product=calcium-binding protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF2518 family protein CDS | location=2270436-2270943(+) | final_gene=unknown_gene | final_product=DUF2518 family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=serine/threonine phosphatase CDS | location=2271077-2273015(-) | final_gene=stp | final_product=serine/threonine phosphatase | resolution=uniprot_product_to_gene:stp:9,prpA:2
[UNRESOLVED] standard_name=vitamin K epoxide reductase family protein CDS | location=2273760-2274735(-) | final_gene=unknown_gene | final_product=vitamin K epoxide reductase family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=acsF CDS | location=2274987-2276058(-) | final_gene=acsF | final_product=magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase | resolution=no_change
[UNCHANGED] standard_name=hisD CDS | location=2276421-2277732(-) | final_gene=hisD | final_product=Histidinol dehydrogenase | resolution=no_change
[CHANGED] standard_name=hisD gene | location=2276421-2277732(-) | final_gene=hisD | final_product=hisD gene | resolution=no_change
[UNCHANGED] standard_name=rpsT CDS | location=2278306-2278597(+) | final_gene=rpsT | final_product=30S ribosomal protein S20 | resolution=no_change
[CHANGED] standard_name=rpsT gene | location=2278306-2278597(+) | final_gene=rpsT | final_product=rpsT gene | resolution=no_change
[UNRESOLVED] standard_name=TatD family hydrolase CDS | location=2278716-2279526(+) | final_gene=unknown_gene | final_product=TatD family hydrolase | resolution=fallback_unknown_gene
[CHANGED] standard_name=rpoB CDS | location=2279667-2282967(+) | final_gene=rpoB | final_product=DNA-directed RNA polymerase subunit beta | resolution=no_change
[CHANGED] standard_name=DNA-directed RNA polymerase subunit gamma CDS | location=2283066-2285145(+) | final_gene=rpoC1 | final_product=DNA-directed RNA polymerase subunit gamma | resolution=uniprot_product_to_gene:rpoC1:940,rpoC:50
[CHANGED] standard_name=DNA-directed RNA polymerase subunit beta' CDS | location=2285240-2289260(+) | final_gene=rpoC2 | final_product=DNA-directed RNA polymerase subunit beta' | resolution=uniprot_product_to_gene:rpoC2:550,rpoB:420,rpoC:5
[UNRESOLVED] standard_name=NFACT family protein CDS | location=2290643-2292365(+) | final_gene=unknown_gene | final_product=NFACT family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF72 domain-containing protein CDS | location=2294222-2295173(-) | final_gene=unknown_gene | final_product=DUF72 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=polymer-forming cytoskeletal protein CDS | location=2295955-2296354(+) | final_gene=unknown_gene | final_product=polymer-forming cytoskeletal protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=AAA family ATPase CDS | location=2298166-2299507(-) | final_gene=unknown_gene | final_product=AAA family ATPase | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=thrS CDS | location=2299647-2301486(-) | final_gene=thrS | final_product=Threonine--tRNA ligase | resolution=no_change
[CHANGED] standard_name=thrS gene | location=2299647-2301486(-) | final_gene=thrS | final_product=thrS gene | resolution=no_change
[CHANGED] standard_name=diguanylate cyclase CDS | location=2301687-2303541(-) | final_gene=dosC | final_product=diguanylate cyclase | resolution=uniprot_product_to_gene:dosC:3
[UNCHANGED] standard_name=plsX CDS | location=2304483-2305521(+) | final_gene=plsX | final_product=Phosphate acyltransferase | resolution=no_change
[CHANGED] standard_name=plsX gene | location=2304483-2305521(+) | final_gene=plsX | final_product=plsX gene | resolution=no_change
[CHANGED] standard_name=beta-ketoacyl-ACP synthase III CDS | location=2305520-2306543(+) | final_gene=fabH | final_product=beta-ketoacyl-ACP synthase III | resolution=uniprot_product_to_gene:fabH:199
[UNRESOLVED] standard_name=AAA family ATPase CDS | location=2306575-2312050(-) | final_gene=unknown_gene | final_product=AAA family ATPase | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=cydA CDS | location=2313740-2315117(+) | final_gene=cydA | final_product=Cytochrome bd ubiquinol oxidase subunit 1 | resolution=no_change
[UNCHANGED] standard_name=cydB CDS | location=2315147-2316161(+) | final_gene=cydB | final_product=Cytochrome bd-I ubiquinol oxidase subunit 2 | resolution=no_change
[CHANGED] standard_name=trypsin-like serine protease CDS | location=2316355-2317765(-) | final_gene=degQ | final_product=trypsin-like serine protease | resolution=uniprot_product_to_gene:degQ:13
[UNRESOLVED] standard_name=IctB family putative bicarbonate transporter CDS | location=2317995-2319444(-) | final_gene=unknown_gene | final_product=IctB family putative bicarbonate transporter | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GUN4 N-terminal ARM-like repeat domain-containing protein CDS | location=2319738-2320470(-) | final_gene=unknown_gene | final_product=GUN4 N-terminal ARM-like repeat domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=riboflavin synthase CDS | location=2320988-2321654(-) | final_gene=ribE | final_product=riboflavin synthase | resolution=uniprot_product_to_gene:ribE:185,ribC:75
[CHANGED] standard_name=rodA CDS | location=2321751-2323011(-) | final_gene=rodA | final_product=rod shape-determining protein RodA | resolution=no_change
[UNRESOLVED] standard_name=Mrp/NBP35 family ATP-binding protein CDS | location=2323112-2324192(-) | final_gene=unknown_gene | final_product=Mrp/NBP35 family ATP-binding protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=hemF CDS | location=2325094-2326111(+) | final_gene=hemF | final_product=oxygen-dependent coproporphyrinogen oxidase | resolution=no_change
[UNRESOLVED] standard_name=STAS domain-containing protein CDS | location=2326417-2326777(+) | final_gene=unknown_gene | final_product=STAS domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF4327 family protein CDS | location=2327361-2327586(+) | final_gene=unknown_gene | final_product=DUF4327 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=NifU family protein CDS | location=2328510-2328747(-) | final_gene=unknown_gene | final_product=NifU family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=hetZ CDS | location=2330137-2331316(-) | final_gene=hetZ | final_product=heterocyst differentiation protein HetZ | resolution=no_change
[UNRESOLVED] standard_name=ssl1498 family light-harvesting-like protein CDS | location=2334682-2334862(-) | final_gene=unknown_gene | final_product=ssl1498 family light-harvesting-like protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=metallophosphoesterase CDS | location=2335187-2336318(+) | final_gene=unknown_gene | final_product=metallophosphoesterase | resolution=fallback_unknown_gene
[CHANGED] standard_name=clpP 1 CDS | location=2336719-2337328(-) | final_gene=clpP | final_product=ATP-dependent Clp protease proteolytic subunit | resolution=uniprot_product_to_gene:clpP:695,clpP1:56,clpP2:56,clpP3:36,clpR:6
[CHANGED] standard_name=clpP gene | location=2336719-2337328(-) | final_gene=clpP | final_product=clpP gene | resolution=no_change
[CHANGED] standard_name=pyk 1 CDS | location=2338348-2340112(-) | final_gene=pyk | final_product=Pyruvate kinase | resolution=uniprot_product_to_gene:pyk:465,pykF:20,pyk1:8,pykF2:5,pykF4:5
[CHANGED] standard_name=pyk gene | location=2338348-2340112(-) | final_gene=pyk | final_product=pyk gene | resolution=no_change
[UNRESOLVED] standard_name=DUF3598 family protein CDS | location=2340065-2341037(+) | final_gene=unknown_gene | final_product=DUF3598 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=glycoside hydrolase family protein CDS | location=2341108-2341897(-) | final_gene=unknown_gene | final_product=glycoside hydrolase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=alpha/beta fold hydrolase CDS | location=2342088-2342943(-) | final_gene=unknown_gene | final_product=alpha/beta fold hydrolase | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=clpX CDS | location=2343087-2344458(-) | final_gene=clpX | final_product=ATP-dependent Clp protease ATP-binding subunit ClpX | resolution=no_change
[CHANGED] standard_name=clpX gene | location=2343087-2344458(-) | final_gene=clpX | final_product=clpX gene | resolution=no_change
[UNRESOLVED] standard_name=iron uptake porin CDS | location=2345056-2346508(-) | final_gene=unknown_gene | final_product=iron uptake porin | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=2Fe-2S iron-sulfur cluster-binding protein CDS | location=2347344-2347641(-) | final_gene=unknown_gene | final_product=2Fe-2S iron-sulfur cluster-binding protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=TolC family protein CDS | location=2348108-2350091(-) | final_gene=unknown_gene | final_product=TolC family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF512 domain-containing protein CDS | location=2350417-2352214(-) | final_gene=unknown_gene | final_product=DUF512 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=lysophospholipid acyltransferase family protein CDS | location=2352429-2353791(+) | final_gene=unknown_gene | final_product=lysophospholipid acyltransferase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=2354224-2354791(-) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[CHANGED] standard_name=restriction endonuclease CDS | location=2354838-2355699(-) | final_gene=mrcA | final_product=restriction endonuclease | resolution=uniprot_product_to_gene:mrcA:5
[UNCHANGED] standard_name=hemW CDS | location=2355722-2356976(-) | final_gene=hemW | final_product=Heme chaperone HemW | resolution=no_change
[CHANGED] standard_name=hemW gene | location=2355722-2356976(-) | final_gene=hemW | final_product=hemW gene | resolution=no_change
[UNRESOLVED] standard_name=PIN/TRAM domain-containing protein CDS | location=2357424-2358501(+) | final_gene=unknown_gene | final_product=PIN/TRAM domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=ABC transporter substrate-binding protein CDS | location=2358564-2360346(+) | final_gene=modA | final_product=ABC transporter substrate-binding protein | resolution=uniprot_product_to_gene:modA:126,proX:12,zam:6,urtA:5
[CHANGED] standard_name=gmd CDS | location=2360506-2361595(-) | final_gene=gmd | final_product=GDP-mannose 4,6-dehydratase | resolution=no_change
[UNRESOLVED] standard_name=sugar transferase CDS | location=2361798-2362503(-) | final_gene=unknown_gene | final_product=sugar transferase | resolution=fallback_unknown_gene
[CHANGED] standard_name=peroxiredoxin CDS | location=2363664-2364267(-) | final_gene=bcp | final_product=Peroxiredoxin | resolution=uniprot_product_to_gene:bcp:45,PRXQ:6,prxU:6,ygaF:6,ccp:5
[UNRESOLVED] standard_name=peroxiredoxin gene | location=2363664-2364267(-) | final_gene=unknown_gene | final_product=peroxiredoxin gene | resolution=fallback_unknown_gene
[CHANGED] standard_name=cell division protein FtsX CDS | location=2364348-2365284(-) | final_gene=ftsX | final_product=cell division protein FtsX | resolution=uniprot_product_to_gene:ftsX:20
[CHANGED] standard_name=ferredoxin CDS | location=2365399-2365873(+) | final_gene=sir | final_product=ferredoxin | resolution=uniprot_product_to_gene:sir:93,ispG:75,pcyA:75,pebB:60,pebA:57
[UNRESOLVED] standard_name=NB-ARC domain-containing protein CDS | location=2366230-2367826(-) | final_gene=unknown_gene | final_product=NB-ARC domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=btpA CDS | location=2368357-2369200(+) | final_gene=btpA | final_product=photosystem I biogenesis protein BtpA | resolution=no_change
[UNRESOLVED] standard_name=alpha/beta hydrolase CDS | location=2369269-2371285(-) | final_gene=unknown_gene | final_product=alpha/beta hydrolase | resolution=fallback_unknown_gene
