standard_name	issue	gene_feature_gene	gene_feature_product	cds_feature_gene	cds_feature_product	final_gene	final_product	resolution
tellurite resistance TerB family protein CDS	resolution				tellurite resistance TerB family protein	unknown_gene	tellurite resistance TerB family protein	fallback_unknown_gene
DEAD/DEAH box helicase CDS	resolution				DEAD/DEAH box helicase	unknown_gene	DEAD/DEAH box helicase	fallback_unknown_gene
tRNA-Thr gene	resolution					unknown_gene	tRNA-Thr gene	fallback_unknown_gene
VOC family protein CDS	resolution				VOC family protein	unknown_gene	VOC family protein	fallback_unknown_gene
response regulator CDS	resolution				response regulator	cheB	response regulator	uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
tRNA-Ser gene	resolution					unknown_gene	tRNA-Ser gene	fallback_unknown_gene
ABC transporter permease CDS	resolution				ABC transporter permease	modB	ABC transporter permease	uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
alpha/beta hydrolase CDS	resolution				alpha/beta hydrolase	unknown_gene	alpha/beta hydrolase	fallback_unknown_gene
transglycosylase domain-containing protein CDS	resolution				transglycosylase domain-containing protein	unknown_gene	transglycosylase domain-containing protein	fallback_unknown_gene
succinate dehydrogenase/fumarate reductase flavoprotein subunit CDS	resolution				succinate dehydrogenase/fumarate reductase flavoprotein subunit	unknown_gene	succinate dehydrogenase/fumarate reductase flavoprotein subunit	fallback_unknown_gene
amino acid permease CDS	resolution				amino acid permease	unknown_gene	amino acid permease	fallback_unknown_gene
histone deacetylase family protein CDS	resolution				histone deacetylase family protein	unknown_gene	histone deacetylase family protein	fallback_unknown_gene
DUF6679 family protein CDS	resolution				DUF6679 family protein	unknown_gene	DUF6679 family protein	fallback_unknown_gene
DUF697 domain-containing protein CDS	resolution				DUF697 domain-containing protein	unknown_gene	DUF697 domain-containing protein	fallback_unknown_gene
ComF family protein CDS	resolution				ComF family protein	unknown_gene	ComF family protein	fallback_unknown_gene
photosystem II S4 domain protein CDS	resolution				photosystem II S4 domain protein	unknown_gene	photosystem II S4 domain protein	fallback_unknown_gene
Npun F5560 family protein CDS	resolution				Npun_F5560 family protein	unknown_gene	Npun_F5560 family protein	fallback_unknown_gene
bifunctional sterol desaturase/short chain dehydrogenase CDS	resolution				bifunctional sterol desaturase/short chain dehydrogenase	unknown_gene	bifunctional sterol desaturase/short chain dehydrogenase	fallback_unknown_gene
DMT family transporter CDS	resolution				DMT family transporter	unknown_gene	DMT family transporter	fallback_unknown_gene
DUF3611 family protein CDS	resolution				DUF3611 family protein	unknown_gene	DUF3611 family protein	fallback_unknown_gene
aspartate ammonia-lyase CDS	resolution				aspartate ammonia-lyase	aspA	aspartate ammonia-lyase	uniprot_product_to_gene:aspA:175,ansB:10
glycosyltransferase CDS	resolution				glycosyltransferase	ftsW	glycosyltransferase	uniprot_product_to_gene:ftsW:78,spoVE:3
DUF362 domain-containing protein CDS	resolution				DUF362 domain-containing protein	unknown_gene	DUF362 domain-containing protein	fallback_unknown_gene
radical SAM protein CDS	resolution				radical SAM protein	unknown_gene	radical SAM protein	fallback_unknown_gene
Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain CDS	resolution				Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain	unknown_gene	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain	fallback_unknown_gene
